,Unnamed: 0,user_id,user_name,location,created_at,description,followers_count,friends_count,listed_count,favourites_count,statuses_count,geo_enabled,time_zone,resp_time
147,147,3108828058,spac3doutcptn,"Berkeley, CA",Mon Mar 23 22:25:34 +0000 2015,https://t.co/UPbOi1Ivjn,144,94,4,3310,9165,True,,NA
148,148,776846844676730880,jbirdpeterson,"Pearland, TX",Fri Sep 16 18:14:55 +0000 2016,Full Stack dev with a ways to go.,7,96,0,41,15,False,,196.0
149,149,787529096,sudhir3sri,,Tue Aug 28 17:58:48 +0000 2012,,3,74,0,0,55,False,,375.0
150,150,28171706,rockydunnam,"Amarillo, TX",Wed Apr 01 19:18:13 +0000 2009,Chef [Le Cordon Bleu] || CEC; CCA; WCEC; CDM; CFPP || Instagram: rockydunnam,367,258,16,569,5382,True,,1812.0
151,151,599347162,JenSzalay,,Mon Jun 04 15:49:38 +0000 2012,"Penn State 2013
Northwestern 2020
Ollivander Barkley 🐶 Travel 🌍 Data 📈",83,104,5,91,124,True,,1074.0
152,152,1041429677141839872,JaredLindloff,,Sun Sep 16 20:52:38 +0000 2018,,0,15,0,3,4,False,,316.0
153,153,879453105070493697,ClutchCitizen,,Mon Jun 26 21:35:34 +0000 2017,,0,4,0,2,2,False,,263.0
154,154,15446261,bastylefilegirl,"Kingdom of Oakland, CA",Tue Jul 15 21:24:44 +0000 2008,Blogger/Sports Fan. #GetOffMyLawn Twitter. Former #Raiders fan/tic holder but #AGirlHasNoTeam 🤷🏾‍♀️ https://t.co/9f4eMqUa6B,2486,1730,193,21558,199956,True,,NA
155,155,418060132,ManzTony,,Mon Nov 21 18:07:28 +0000 2011,It's ALL about Networking! Do you know Kimball? ITB,348,589,27,1807,5992,True,,469.8
156,156,736973198076575747,quibblesandbits,"Durham, NC",Sun May 29 17:31:17 +0000 2016,"ferocious writer (they/them) and parent in their late 30s, with a warm oven heart.
voice on SoundCloud: loopypoetry
TERFs not welcome. 
https://t.co/DsGaY7RMGP",422,1154,28,20180,9441,True,,1023.0
157,157,360617274,TheStarVictoria,In a world...that is....,Tue Aug 23 14:02:12 +0000 2011,Ryan Murphy Half Initiative Director Mentee. JuVee Productions Intern. Film / TV Director & MFA from USC School of Cinematic Arts.,800,238,24,121,3579,False,,161.0
158,158,1217346709,rshuman27,"San Francisco, CA",Mon Feb 25 05:01:58 +0000 2013,,32,87,0,2,25,False,,425.0
159,159,51030735,lil_kimfl,Florida,Fri Jun 26 12:05:42 +0000 2009,#MyFamily🐾#LiveLife #NoRegrets🐾#YouDontHaveToLikeMeButYouWillRespectMe,223,570,4,20645,6467,True,,NA
160,160,35566339,suburbanjim,,Sun Apr 26 21:12:11 +0000 2009,,9,29,0,580,864,False,,5704.5
161,161,1024305794928521216,hbe2008,,Tue Jul 31 14:48:26 +0000 2018,,0,14,0,0,3,False,,774.0
162,162,30933037,kmwallace85,North Carolina,Mon Apr 13 19:11:29 +0000 2009,"Web Designer, Developer, wife, DIYer, people watcher, job seeker, and lovers of all things water!",53,240,1,52,106,True,,243.0
163,163,999289951245225987,Kayigh2,"Michigan, USA",Wed May 23 14:04:25 +0000 2018,"Nerdgirl, Gamergirl. IT Nerd. Photograper. Karrell on @redemptionpod (She/Her/Hers)",47,89,0,191,98,True,,NA
164,164,278887780,CocaineNoHoney,Atlanta,Fri Apr 08 05:00:27 +0000 2011,revenge isn't just a dish best served cold - it's her most favorite dish in the world. 😈,3865,346,71,1080,192491,True,,180.0
165,165,1447863684,12thBattalion,Black Citadel,Wed May 22 03:44:58 +0000 2013,Author of The Tyrian World of 12th Blood Legion Battalion & general twitter nuisance. #StLCards,206,258,37,3519,24221,False,,NA
166,166,2155188688,chriddyfries,,Sun Oct 27 02:59:23 +0000 2013,,39,96,1,42,94,True,,573.0
167,167,746420300821073920,SchroedsBiz,,Fri Jun 24 19:10:42 +0000 2016,Data Scientist | Crypto | I start things.,990,303,8,880,2697,False,,494.0
168,168,559927884,CaterinaTaylor,"Oside, CA",Sat Apr 21 20:27:19 +0000 2012,"Taking good care of my husband, the cutest child on earth and Private Jets worldwide.",102,207,7,5377,736,False,,803.0
169,169,175986132,DavidHenderson0,"Charlotte, NC",Sun Aug 08 06:02:14 +0000 2010,"You find peace not by rearranging the circumstances of your life, but by realizing who you are at the deepest level. Fitness, Photography, Gamer",536,205,2,7915,7358,True,,1141.0
170,170,1596664483,CarrieBurling,New York,Mon Jul 15 20:01:20 +0000 2013,Photographer - Writer - Sometimes Musician - I'll Try Just About Anything Once.... Okay Maybe Twice,972,942,32,691,1483,False,,367.5
171,171,26543990,TomHamre,"Oslo, Norge",Wed Mar 25 17:30:28 +0000 2009,Jobbar for https://t.co/17d2TitCWl,258,923,5,6658,5848,True,,NA
172,172,114073708,Peitho___,,Sun Feb 14 01:43:16 +0000 2010,"I either like you or I dont, there's no in between with me. Profile pic by @princess_kay__",2905,429,69,5456,512824,True,,1615.0
173,173,1174704960,76816472,,Wed Feb 13 10:10:04 +0000 2013,student.instagram:yydmmmmdyy,23,184,0,10,149,False,,NA
174,174,1559561054,ALLPRONATE,,Mon Jul 01 03:45:32 +0000 2013,Why so serious ?,380,321,6,26165,24440,True,,1843.0
175,175,829573580966891520,AnmolVishnu,"Bengaluru, India",Thu Feb 09 06:12:09 +0000 2017,Anmol Vishnu,3,0,0,3,24,False,,NA
176,176,18176916,bixi0,mobius,Wed Dec 17 00:01:02 +0000 2008,Depeche Mode In Mohinder Suresh Zone,48,153,1,20795,20406,False,,1811.0
177,177,105702668,jakegaroutte4,"Aurora, MO",Sun Jan 17 05:39:01 +0000 2010,The Jort Movement. Reppin the Ls. #ThunderUP,729,1102,1,4874,12259,True,,817.0
178,178,3663846794,daniorozco_25,"Tlalnepantla de Baz, México",Wed Sep 23 22:31:52 +0000 2015,Ing. telecomunicaciones,49,241,4,2235,2399,False,,NA
179,179,773648876142288896,DavidFeketeHun,,Wed Sep 07 22:27:20 +0000 2016,,190,482,3,3211,9900,False,,413.0
180,180,385329586,Pirlo_yehmy,Lagos,Wed Oct 05 09:29:04 +0000 2011,,67,532,0,1167,75,False,,NA
181,181,6529952,ucfgeek,,Sat Jun 02 21:34:01 +0000 2007,Opinions are my own.,123,240,21,1496,4240,True,,NA
182,182,280795241,Muffduster_1985,,Tue Apr 12 01:35:06 +0000 2011,Go Razorbacks!!!  Not politically correct.,97,278,2,836,981,False,,2798.0
183,183,1551904584,crbickhaus,"North Carolina, USA",Fri Jun 28 01:38:03 +0000 2013,dad | techie,23,121,4,241,123,False,,460.0
184,184,165122202,StevenSalced,"Bogotá, D.C., Colombia",Sat Jul 10 17:21:24 +0000 2010,"BULLET FOR MY VALENTINE FOREVER AND ALWAYS...
ALTETICO NACIONAL ❤⚽",772,4436,26,109450,32015,False,,NA
185,185,3246397911,CraigMeyer16,"Orangefield, Texas",Mon May 11 15:59:04 +0000 2015,"Catholic, veteran, youth minister dad in Texas.",51,140,2,1727,768,False,,1860.0
186,186,279203282,Papafarms,,Fri Apr 08 20:06:25 +0000 2011,Director of Partner &  Government Marketing at @Equinix Passionate about marketing & cloud technologies. Fanatical about Porsche Racing & pushing the envelope.,115,88,14,14,806,True,,NA
187,187,751180594135109632,migasUn13,"Seixal, Portugal",Thu Jul 07 22:26:24 +0000 2016,"With a guitar, a computer and a pair of speakers I can make you cry

Bands: Somewhere. Somehow.
https://t.co/T88PVs1sdj…",10,33,0,34,228,False,,NA
188,188,147328174,Musik545,Johannesburg,Sun May 23 21:10:32 +0000 2010,"African,Muslim and Straight...",198,419,0,357,2227,True,,1325.0
189,189,40213907,mandyfoo,Malaysia,Fri May 15 10:23:10 +0000 2009,Real-life Retsuko 🤬 • #LoveWins 🏳️‍🌈,243,164,6,5789,54332,True,,454.0
190,190,22308524,RaulaBeth,"Austin, TX",Sat Feb 28 23:33:22 +0000 2009,,26,112,0,215,117,False,,2145.0
191,191,223985546,iHeartJCena,Puerto Rico/Cena World,Tue Dec 07 21:19:31 +0000 2010,I am big fan of @JohnCena & @AJStylesOrg a girl that #NeverGivesUp . I got a follow by my hero Dec/14/10 he inspires me to #NeverGiveUp #TeamCena #CeNation,2153,109,22,250,12226,False,,12026.0
192,192,2773828144,infantryteacher,,Wed Sep 17 19:03:30 +0000 2014,"14 year US Army Infantry veteran, bachelors degree in psychology/social science, continuing masters social work. An Italian chef at John's Italian Greentown PA",60,142,0,445,427,True,,2068.0
193,193,2202513369,lmcmike,,Sun Dec 01 01:40:57 +0000 2013,,3,18,0,9,18,False,,1504.5
194,194,65733703,alickcarvalho,"Manhattan, NY",Fri Aug 14 20:56:58 +0000 2009,"I am an Engineer on a Mission to excell in every Project with the best of my abilities, enthusiasm and energy. Am proud to be associated with NYC Construction.",20,40,0,1213,1052,False,,1715.0
195,195,45212295,alandprice,"Sherwood, AR",Sat Jun 06 20:55:48 +0000 2009,"I’m a BA with a BS that can BS your BA or LA off. I majored in acronyms at ASU, worked on NEPA, SARA, STORET, and CWA at ADEQ. Now, I belong to AARP.",745,1938,11,3580,5887,True,,6414.0
196,196,11984102,TechButthead,"BANGALORE && Dubai,UAE",Tue Jan 08 13:08:18 +0000 2008,"TECHIE by Mornin,RESTAURATEUR by Evenin & #BLOGGER by Fervor| Nerd| #Tea| Hav 36-TEETH| SINNER|#OCD| Fascinated wit #URDU #Poetry/Words| HorrorMovies| #FEMINIST",3014,5001,459,15640,43557,False,,NA
197,197,2876535868,FedExHelpEU,EU,Fri Nov 14 15:12:54 +0000 2014,Welcome to the official FedEx Customer Service account for Europe. We are here for you Mon.– Fri. 09:00-18.00 UK.,3097,5429,6,223,9092,False,,30927.0
198,198,546117694,techinfobit,"Bengaluru, India",Thu Apr 05 16:50:58 +0000 2012,"techinfoBiT is a tech blog with deep focus on how-to posts. Latest updates & reviews about tools, gadgets & gizmos. A guide to basic WordPress, Server & SEO.",5591,6122,11,61,728,True,,NA
199,199,373358076,shrawansingh6,"Tumkur, India",Wed Sep 14 12:53:37 +0000 2011,"Hello Friends I M Travel Agent 
My Work Is Holiday Packages Flight Group Booking Bus Booking Done here",270,1105,0,1077,712,False,,132.0
200,200,825030725053276161,WeAreHowellUP,"Denver, CO",Fri Jan 27 17:20:27 +0000 2017,"The customer service solution for small to medium sized businesses and eCommerce retailers. High-quality, customer support. Send us a message!",100,41,2,2568,1396,False,,NA
201,201,2457152250,notsofastfood,"Hollywood, Los Angeles",Mon Apr 21 21:38:38 +0000 2014,LA based Chef.  Philadelphia Sports Fanatic.  Animal Lover #truecooks #Philly #FlyEaglesFly,347,347,21,990,842,False,,2826.5
202,202,2601598002,ariheist,Israel,Thu Jul 03 12:50:16 +0000 2014,"Former @inssisrael and @cfr_org. Interested in many things, but not pictures of your food.",190,1870,1,969,1406,True,,409.0
203,203,4102048647,moneymasternow1,"Chicago, IL",Tue Nov 03 04:23:55 +0000 2015,i am the Bitch,15,16,2,69,393,False,,NA
204,204,388784910,rajatgoel080,Modinagar India,Tue Oct 11 10:28:01 +0000 2011,,29,161,0,4,221,True,,NA
205,205,1187427312,TannerJay84,"Long Beach, MS",Sat Feb 16 20:55:06 +0000 2013,,18,8,0,0,7,False,,1390.0
206,206,960695753206267904,NhatQuang93,,Tue Feb 06 02:04:51 +0000 2018,,2,21,0,0,4,False,,NA
207,207,1026973855,OfficialGGJack,,Fri Dec 21 19:04:11 +0000 2012,,130,149,1,1149,3349,True,,NA
208,208,165576646,dpokan,Canada,Mon Jul 12 00:15:25 +0000 2010,"psn:Veloveil
Handle: .42.",131,438,14,6822,10085,False,,NA
209,209,431212725,SSGuitarist,"Baisden, WV",Thu Dec 08 01:40:38 +0000 2011,28. WV. Married-perfect wife. 3 kids. Teacher. I've been playing guitar for 15 years. I like rock music. Traveler.,290,359,2,2691,1735,True,,NA
210,210,528204222,DonnyNayo,"Fort Severn, Ontario, Canada",Sun Mar 18 06:04:32 +0000 2012,"I'm a musician who is a Single Papa, Teacher Assistant, on a journey to weight loss and pursuing education in every opportunity. Evan, Donovan, Renee, ILU!",64,327,0,1391,235,False,,NA
211,211,321022511,HomeEcMel,Kansas,Mon Jun 20 22:16:08 +0000 2011,"I tweet about #quilting, #sewing, vintage sewing machines, home decor, and my favorite Hgvtv shows",4062,2639,135,10064,30209,False,,17595.0
212,212,20063967,CP_Murphy,"Memphis, TN",Wed Feb 04 16:03:30 +0000 2009,"Program Manager, Social Media Advocate, PMP, Agile/Scrum, CSM, PMI-ACP, Lifelong Student, Memphis Music Fan, Husband & Father of Two",359,366,31,65,11096,True,,NA
213,213,2963170835,NSBrowny,"Norfolk, VA",Tue Jan 06 01:39:20 +0000 2015,Former Professional Thrower of Baseballs for the Minnesota Twins Organization ⚾️ College of William and Mary Class of 2017 🎥 Owner of NB Designs.,348,226,2,536,466,False,,329416.5
214,214,376010130,DumboTweets,"Malacca, Malaysia",Mon Sep 19 04:21:17 +0000 2011,I'm sarcastically nice. Go figure.,94,78,0,1397,7286,False,,8082.0
215,215,16434027,keat,crying somewhere,Wed Sep 24 13:12:16 +0000 2008,2001 World Clown Association “Junior Joey” bronze medalist.,2385,988,39,28983,41853,True,,NA
216,216,2405361350,stevesforge,Narnia,Sun Mar 23 00:42:20 +0000 2014,,76,107,3,12493,3672,False,,460.85714285714283
217,217,1044058980270690305,MaelstromMal,,Mon Sep 24 03:00:33 +0000 2018,"I'm a metalhead, a guitarist, a gamer (sort of) and a movie buff.",18,153,0,18,27,False,,737.0
218,218,781753963,KevinRu58651089,"Elgin, IL",Sun Aug 26 05:17:47 +0000 2012,Huge White Sox fan .Dad to Alex Russell.,74,251,0,3209,2499,False,,NA
219,219,929211654944051200,whterrell,"Dallas, TX",Sat Nov 11 04:58:17 +0000 2017,"Terminal heart condition (cardiomyopathy), former teacher, bad guitarist, tshirt and jeans guy. Married with 2 great pups",24,77,0,3654,1526,False,,1201.0
220,220,37316655,wyntercobweb,Thornaby on Tees,Sun May 03 00:12:20 +0000 2009,"Well, what can I say, love Apple,Vegan,Photography,Gadgets, Metal, Iron Maiden, As Lions (long time RTR fan),ShVpes, 30STM,Can be found most places online :-)",896,2653,60,20480,36585,True,,NA
221,221,737946840,Nstalker91894,"Livonia, Mi.",Sun Aug 05 03:58:46 +0000 2012,politically incorrect.,369,1194,9,9918,24820,True,,NA
222,222,998558480108679168,kazart1222,名古屋市ART-SCHOOL BMTH コドモメンタル,Mon May 21 13:37:48 +0000 2018,ART-SCHOOL ぜんぶ君のせいだ。患い 群青 04LS 魔物チルドレンFalilv ING RADWIMPS OOR テナー AKFG 100s BMTH Maggots JAZZ 新日本プロレス DRAGON GATE SAO EVA 漫画 アニメ ドラム A応P モ！リツイート多め,502,993,0,55266,43255,False,,NA
223,223,445621418,DJHawaii5ive0,Houston Texas,Sat Dec 24 16:50:02 +0000 2011,"From Hawaii by way of Colorado. Attended the best school in Texas, HOOK 'EM! And thats right.. spinning these Technics!",331,304,3,154,1612,True,,1216.5
224,224,4807360086,yu_pica_orcus,,Sun Jan 24 12:00:12 +0000 2016,フレットレスデスメタラー E160. A130. D105. G85. C65. F45. A#32. ASD 主夫,346,84,1,231,4678,False,,NA
225,225,1039186987247271937,SORITAIRE,,Mon Sep 10 16:20:59 +0000 2018,アメ研49代のそーりです 闇の組織にアカウントバレたので作り直しました,210,438,0,246,196,False,,NA
226,226,35102180,jtbtweetin,San Francisco,Sat Apr 25 01:19:50 +0000 2009,"Freelance Illustrator, writer, and magical Black girl. I just wanna make diverse media ♡ This twitter is unofficial, but it's mine. // jhennetylerb@gmail.com",868,2391,42,123197,34030,False,,545.3333333333334
227,227,445927215,igossometalzeyo,高知,Sun Dec 25 02:52:39 +0000 2011,"土佐の高知のMETAL好き。多弦や多フレット等の規格外ギターに興味があり自作したり情報を集めたりしています。現在は9弦ギターがメイン。
MANIAC JUDOというバンドのギタリストですが好酸球増多症という病気の療養中なので音楽活動は行なっていません。
ツイプロフィール　http://t.co/bv4Mc24V",713,369,41,7500,53832,True,,NA
228,228,57407027,nickeve,Kent,Thu Jul 16 18:31:39 +0000 2009,"Husband, father, wrestling fan, part-time musician, full-time idiot.",357,704,5,4066,23191,True,,NA
229,229,716075618,ARTicWolf33c,"Fredericksburg,VA",Wed Jul 25 13:35:43 +0000 2012,"Find me on Xbox and PS3 - Dark Heart319
Discord @DarkHeart319 #6545",434,588,4,4839,8590,True,,NA
230,230,255806428,Onestudpuppy,California,Tue Feb 22 02:41:30 +0000 2011,"https://t.co/1qxE8jUK0E https://t.co/y9aJzZrQyc live slot play videos, Vloging, randomness geekness and some ideas in the works.",130,149,6,142,4895,True,,566.3333333333334
231,231,1907742253,SKutnicki,"Indiana, USA",Thu Sep 26 12:18:07 +0000 2013,"PhD Candidate @ Indiana University Communication & Culture. Cinema & Media History | Rhetoric & Public Culture | Impermanence, Ruins, and Histories of Decline",278,355,5,1176,1776,False,,381.5
232,232,998911046,PhitzGG,Canada,Sun Dec 09 09:06:48 +0000 2012,"Call Center Worker / Gamer / Streamer.
Do you even scout?",185,87,7,4172,5176,False,,NA
233,233,191728110,Twixted1,"Kirkland, WA",Fri Sep 17 05:27:56 +0000 2010,"Traveler, most recently to Antarctica with my lovely fiancee.  U of Washington Phys/Astro grad, never left, working in IT as a PM for HFS (we love acronyms).",32,123,5,646,215,False,,256.0
234,234,19927119,jmackxiii,,Mon Feb 02 20:02:42 +0000 2009,,117,92,5,0,1401,True,,861.6666666666666
235,235,35928470,CowMan5150,"Casa Grande, AZ",Tue Apr 28 00:47:17 +0000 2009,"Cowboys, Dbacks, Coyotes, Suns, WWE fan. Skywarn spotter. PSN and Nintendo Switch gamer. 2 time fantasy football champ. From the 915. Pineapple goes on pizza!",283,1045,15,2315,15671,True,,429.0
236,236,92918476,ssbu_Grylvak,"Phoenix, AZ",Fri Nov 27 06:45:40 +0000 2009,Help Desk IT Analyst and avid lover of video games. My opinions are my own. Nintendo Switch FC: 2505-2432-7523,43,307,1,2690,1220,False,,471.0
237,237,378289071,ssbu_MGF,"Ann Arbor, Michigan",Thu Sep 22 23:32:39 +0000 2011,"He/Him. SSB4, Splatoon 2, Yu-Gi-Oh!, etc. Cloud & Charizard. Soon-to-be best Snake main in MI. Videographer for @GooshiGaming. Freelance videographer.",211,453,13,15615,6088,False,,NA
238,238,24215305,ErikJoiner,"San Jose, CA",Fri Mar 13 17:54:54 +0000 2009,"Director Consumer Marketing for ASUS with a passion for advertising, esports, PC gaming and metal. Proud husband and father. Tweets are my own.",515,728,32,1338,2046,True,,NA
239,239,587384940,wearawishbone,,Tue May 22 10:01:11 +0000 2012,Fashion-Food-Travel,54,56,2,0,1189,False,,658.0
240,240,240787623,AShazlan,Subang Jaya,Thu Jan 20 19:00:54 +0000 2011,Let this🐝a reminder of things I should've done #COYG,277,333,3,475,64062,True,,NA
241,241,839991458191015936,Elimyguy,,Fri Mar 10 00:09:04 +0000 2017,Lawl enforcement,9,111,0,407,170,False,,NA
242,242,1190274014,heavymetalpomp,Singapore,Sun Feb 17 17:04:05 +0000 2013,"Sometimes I make videos.
@skinnydecflatte ❤",415,385,11,26912,30868,True,,NA
243,243,859526657098559489,trinityhelimd,"Georgetown, TX",Tue May 02 21:54:59 +0000 2017,"Officially licensed representative of @MDhelicopters since 2015
instagram: @trinityaviation
facebook: https://t.co/Nft7yr0IQS",54,127,1,161,75,False,,748.5
244,244,43679357,RicBebop,London,Sun May 31 12:11:29 +0000 2009,"-filmmaker-

hello@riccardoservini.com",1557,743,40,5528,26649,True,,829.0
245,245,1012464528208957440,OutlawTheLeo,Washington state ,Thu Jun 28 22:35:29 +0000 2018,Nothing special about me just Blessed,102,240,0,1012,235,False,,NA
246,246,100884421,elpapipizza,"Mexico City, Mexico",Fri Jan 01 02:30:50 +0000 2010,"Filosofía moderna disfrazada de humor negro... No, la neta no. A nadie le gustan mis tuits. Luke Skywalker es mi héroe.",191,300,1,12642,4413,False,,NA
247,247,39789111,natehyde,"South Carolina, USA",Wed May 13 16:48:57 +0000 2009,"A manager, a salesman, a leader, and a warrior walk into a resturaunt. The hostess says, Table for 1? How is this possible?",136,305,6,429,1228,True,,NA
248,248,1038167974224359424,DaveBeeStocks,,Fri Sep 07 20:51:48 +0000 2018,,0,4,0,2,6,False,,254.0
249,249,338531502,DiebytheSword66,South of Heaven,Tue Jul 19 18:29:49 +0000 2011,Live and let live. A life without music is not a life. #Blackhawks! #Metal #Cubs #Bears #Tattoos #UMF 🇵🇷,7593,7505,232,41974,91080,False,,NA
250,250,954594531353100289,Schridogg666,"Washington, USA",Sat Jan 20 06:00:46 +0000 2018,I like stuff.,32,422,0,3870,1720,False,,NA
251,251,783122120985366528,Arithium1,USA,Tue Oct 04 01:50:38 +0000 2016,"I'm a gamer, programmer and father of 2.",66,257,0,1667,1035,False,,305.0
252,252,50152622,HollywoodRpi69,United States,Wed Jun 24 00:21:47 +0000 2009,Sons of Liberty,269,1089,0,2177,753,False,,NA
253,253,4833876566,resulgurcan,,Sat Jan 30 06:50:34 +0000 2016,,38,161,0,0,14,False,,194.0
254,254,128219916,jforst26,"Long Island, NY ",Wed Mar 31 13:33:55 +0000 2010,Part of a great team @iMillerPR #telecom #marketing #pr #longisland,1418,2962,296,999,14457,False,,219.0
255,255,3443553314,nathanwayman,"Indiana, USA",Fri Sep 04 02:58:40 +0000 2015,Black&White,162,109,1,7507,980,False,,382.3333333333333
256,256,905892233089433600,Irfannzo,"San Francisco, CA",Thu Sep 07 20:35:13 +0000 2017,......,3,52,0,129,497,False,,12041.0
257,257,754704901792489472,jbarnett71,"Madeley,North Staffordshire. ",Sun Jul 17 15:50:45 +0000 2016,HGV Driver. Views and comments are all my own.👍,276,1139,1,9138,3726,False,,NA
258,258,367616016,MBGlamourville,♡ VISIT OUR WEBSITE ♡,Sun Sep 04 08:01:25 +0000 2011,"lover of pretty things. creator of margarita bloom ♡ BEAUTY+FASHION ♡ Sign up for our newsletter, get 15% off!!",1718,1960,103,2180,93895,False,,578.0
259,259,861930040367267840,NightmareFront,"Lansing, MI",Tue May 09 13:05:10 +0000 2017,Speedrunner // Vocalist // Mental Health advocate // Bi // He/Him // Lucky in love! // Twitch: https://t.co/rOESbncqmA // Bandcamp: https://t.co/X7x47pdt6J,88,76,0,8363,5949,False,,NA
260,260,975917045920415745,connorscott02,,Tue Mar 20 02:08:50 +0000 2018,This one’s for the life. This one’s for the funeral in the rain. | sXe,153,1208,0,9551,1474,False,,NA
261,261,379004081,feedingtubepaul,#OH02,Sat Sep 24 05:57:27 +0000 2011,"#resist Parkinson's plus:Multiple System Atrophy, #FeedingTube #ArmyVet #ASCAP author Jokester https://t.co/JjMGE0lYaZ
https://t.co/YuUNEiKjRF",2348,4383,29,19179,37028,True,,361.0
262,262,16581777,BruceLevenstein,"Austin, Texas",Fri Oct 03 18:45:35 +0000 2008,Strictly limited 2xCD gatefold edition.,1537,1042,101,435,97685,True,,155.0
263,263,267919260,xb0shi3x,Illinois,Thu Mar 17 20:16:03 +0000 2011,"Nerd Adjacent, Bewb #TwitchAffiliate, #Xbox, #PC, #PS4, & #ttrpgs",1848,664,77,33973,13407,True,,NA
264,264,2725163452,The_MistahJ,"San Francisco, CA",Sat Jul 26 11:49:28 +0000 2014,@Twitch affiliate | @watchmixer Streamer | Variety streamer | Horror Fanatic | Writer for @mandatory https://t.co/8brEVCdhWi,608,1183,3,9763,3188,True,,179.0
265,265,888148593432985603,moekzi,Islamic Republic of Iran,Thu Jul 20 21:28:20 +0000 2017,A random dude with a crazy head for video games.,20,85,0,369,57,False,,NA
266,266,862004587,SteveoR6,"Fraser Valley, BC, Canada",Thu Oct 04 20:33:55 +0000 2012,"coach to my daughters, student of my wife, energy to my baseball team #RickFlairWOO, work in eHealth development for BC First Nations. tweetsRmyown #FuckCancer!",173,536,17,678,10913,False,,NA
267,267,939372205544230912,SGTMETALHEAD117,"Winnipeg, Manitoba",Sat Dec 09 05:52:41 +0000 2017,"Canadian, i am the guitarist for progressive thrash metal band Trailmaker. 🤘🤘🤘🤘🎸🎸🎸🎸🇨🇦🇨🇦🇨🇦🇨🇦",208,923,0,6045,1425,False,,NA
268,268,775342612261720065,Crotin,"Los Angeles, CA",Mon Sep 12 14:37:38 +0000 2016,"Gaming, sports, music, with some jokes in-between. https://t.co/PcTQ8Kcvke",221,191,13,50,28654,True,,274.0
269,269,465094933,WesHauch,"Atlanta, GA",Sun Jan 15 23:37:23 +0000 2012,MfG early 1980's.,6174,489,23,5838,2095,True,,NA
270,270,26422493,dezeerae,"New York, NY",Wed Mar 25 03:45:52 +0000 2009,Arkansas ✈ Missouri ✈ NYC || I do tax law for fun (¯\_(ツ)_/¯) and occasionally read books from @NetGalley in exchange for honest reviews,307,402,4,7401,12031,False,,528.0
271,271,197108297,Paveltorresart,Mexico,Thu Sep 30 17:32:39 +0000 2010,illustrator fueled by heavy riffs and catchy leads. I like to draw things lurking from the abyss. 💀⛓⚔️ IG: @paveltorresart  🇲🇽,227,315,4,3539,9636,True,,NA
272,272,1030567045,atClassicK,Portugal,Sun Dec 23 13:19:07 +0000 2012,20 | Graphic Designer,100,46,0,1204,839,True,,NA
273,273,840871054675476481,fateorchaos,,Sun Mar 12 10:24:16 +0000 2017,I play guitar and drink too much beer.,33,300,0,757,303,False,,NA
274,274,548638705,JiyuNaTori,,Sun Apr 08 18:53:32 +0000 2012,• T R I V I U M •,73,69,0,2272,168,True,,NA
275,275,1475794627,SineblackOlmos,Cold Hard Bitch... Bogotá.,Sat Jun 01 21:55:30 +0000 2013,"Barba-Barber,METAL,Libros,Té, NFL,Cine/Series,+LibrosNoctívago.






























 Son Of Anarchy sin Moto.  Hijo de Una Puta y Edgar Allan Poe...日本",429,535,5,3650,24141,False,,NA
276,276,360334072,MikeWoollen,Orlando,Tue Aug 23 01:47:18 +0000 2011,"A local direct source to Silestone and granite countertops.
Providing a one stop shop.. Quote, Template, and Installation.
Serving Central Florida",90,734,1,1999,2342,True,,NA
277,277,912384440193765376,DerW0815,"Koblenz, Deutschland",Mon Sep 25 18:32:56 +0000 2017,"Willkommen in meinem kranken Hirn, kaputter Welt und liebendem Herz. Gamer, Fussballfreak und Metalsüchtig #FCKAFD #FCKNZS #wirsindmehr #Bahntweet #TeamKatze",52,364,1,3713,3911,False,,NA
278,278,4853022493,Nybzilla,11th Dimension,Wed Feb 03 07:23:45 +0000 2016,Hyper-Dimensional Streamer ▲ @Twitch Partner ▲ Aligned with @Check6Gaming ▲ #NybzilianComplex,516,196,15,11424,2142,True,,NA
279,279,112388997,NateMBeltran,"Chino Hills, CA",Mon Feb 08 09:34:20 +0000 2010,"Husband, Father, Guitarist, Gamer, BJJ/MMA fan, a 6.9 on the spectrum of theistic probability, do not strongly affiliate w/any political party",134,802,5,14827,7277,False,,NA
280,280,375424758,VerticlAtrocity,"Harrisonburg, VA",Sun Sep 18 03:28:59 +0000 2011,Content Creator and Variety Streamer | I have a lot to say | Zolta Aetso on Mateus (FFXIV) | Drummer for hire | Business: easterbzachary@gmail.com,333,223,17,288,76585,True,,NA
281,281,115203175,nancepants11,"Virginia, USA",Wed Feb 17 23:16:36 +0000 2010,Artist. Musician. Full time dork.,382,372,1,6335,5917,True,,NA
282,282,41460072,WingsOfAPegasus,Trapped in a cell waiting to fulfil my Destiny an rule Tamriel,Wed May 20 21:53:20 +0000 2009,"Anxiety ridden Agoraphobe, Gamer and borderline Crazy plus Total cat lover. Forgot to mention sleep don't seem to exist in my reality.

Yorkshire born and bred.",17,257,0,244,7838,True,,NA
283,283,22554784,matthewkheafy,Middle Earth,Mon Mar 02 23:49:51 +0000 2009,"guitar, vocals | trivium",157199,1160,823,21184,21354,False,,NA
